Year,League,Player,Team,Base on Balls
1876,NL,Ross Barnes,CHICAGO,20.0
1877,NL,Jim O'Rourke,BOSTON,20.0
1878,NL,Terry Larkin,CHICAGO,17.0
1879,NL,Charley Jones,BOSTON,29.0
1880,NL,Bob Ferguson,TROY,24.0
1881,NL,John Clapp,CLEVELAND,35.0
1882,NL,George Gore,CHICAGO,29.0
1883,NL,Tom York,CLEVELAND,37.0
1884,NL,George Gore,CHICAGO,61.0
1885,NL,Ned Williamson,CHICAGO,75.0
1886,NL,George Gore,CHICAGO,102.0
1887,NL,Jim Fogarty,PHILADELPHIA,82.0
1888,NL,Roger Connor,NEW YORK,73.0
1889,NL,Mike Tiernan,NEW YORK,96.0
1890,NL,Cap Anson,CHICAGO,113.0
1891,NL,Billy Hamilton,PHILADELPHIA,102.0
1892,NL,Jack Crooks,ST. LOUIS,136.0
1893,NL,Jack Crooks,ST. LOUIS,121.0
1894,NL,Billy Hamilton,PHILADELPHIA,126.0
1895,NL,Billy Hamilton,PHILADELPHIA,96.0
1896,NL,Billy Hamilton,BOSTON,110.0
1897,NL,Billy Hamilton,BOSTON,105.0
1898,NL,John McGraw,BALTIMORE,112.0
1899,NL,John McGraw,BALTIMORE,124.0
1900,NL,Roy Thomas,PHILADELPHIA,115.0
1901,AL,Dummy Hoy,CHICAGO,86.0
1901,NL,Roy Thomas,PHILADELPHIA,100.0
1902,AL,Topsy Hartsel,PHILADELPHIA,87.0
1902,NL,Roy Thomas,PHILADELPHIA,107.0
1903,AL,Jimmy Barrett,DETROIT,74.0
1903,NL,Roy Thomas,PHILADELPHIA,107.0
1904,AL,Jimmy Barrett,DETROIT,79.0
1904,NL,Roy Thomas,PHILADELPHIA,102.0
1905,AL,Topsy Hartsel,PHILADELPHIA,121.0
1905,NL,Miller Huggins,CINCINNATI,103.0
1906,AL,Topsy Hartsel,PHILADELPHIA,88.0
1906,NL,Roy Thomas,PHILADELPHIA,107.0
1907,AL,Topsy Hartsel,PHILADELPHIA,106.0
1907,NL,Miller Huggins,CINCINNATI,83.0
1908,AL,Topsy Hartsel,PHILADELPHIA,93.0
1908,NL,Roger Bresnahan,NEW YORK,83.0
1909,AL,Donie Bush,DETROIT,88.0
1909,NL,Fred Clarke,PITTSBURGH,80.0
1910,AL,Donie Bush,DETROIT,78.0
1910,NL,Miller Huggins,ST. LOUIS,116.0
1911,AL,Donie Bush,DETROIT,98.0
1911,NL,Jimmy Sheckard,CHICAGO,147.0
1912,AL,Donie Bush,DETROIT,117.0
1912,NL,Jimmy Sheckard,CHICAGO,122.0
1913,AL,Burt Shotton,ST. LOUIS,99.0
1913,NL,Bob Bescher,CINCINNATI,94.0
1914,AL,Donie Bush,DETROIT,112.0
1914,NL,Miller Huggins,ST. LOUIS,105.0
1915,AL,Eddie Collins,CHICAGO,119.0
1915,NL,Gavvy Cravath,PHILADELPHIA,86.0
1916,AL,Burt Shotton,ST. LOUIS,110.0
1916,NL,Heinie Groh,CINCINNATI,84.0
1917,AL,Jack Graney,CLEVELAND,94.0
1917,NL,George Burns,NEW YORK,75.0
1918,AL,Ray Chapman,CLEVELAND,84.0
1918,NL,Max Carey,PITTSBURGH,62.0
1919,AL,Jack Graney,CLEVELAND,105.0
1919,NL,George Burns,NEW YORK,82.0
1920,AL,Babe Ruth,NEW YORK,150.0
1920,NL,George Burns,NEW YORK,76.0
1921,AL,Babe Ruth,NEW YORK,145.0
1921,NL,George Burns,NEW YORK,80.0
1922,AL,Whitey Witt,NEW YORK,89.0
1922,NL,Max Carey,PITTSBURGH,80.0
1923,AL,Babe Ruth,NEW YORK,170.0
1923,NL,George Burns,CINCINNATI,101.0
1924,AL,Babe Ruth,NEW YORK,142.0
1924,NL,Rogers Hornsby,ST. LOUIS,89.0
1925,AL,Willie Kamm,CHICAGO,90.0
1925,NL,Jack Fournier,BROOKLYN,86.0
1926,AL,Babe Ruth,NEW YORK,144.0
1926,NL,Hack Wilson,CHICAGO,69.0
1927,AL,Babe Ruth,NEW YORK,137.0
1927,NL,Rogers Hornsby,NEW YORK,86.0
1928,AL,Babe Ruth,NEW YORK,137.0
1928,NL,Rogers Hornsby,BOSTON,107.0
1929,AL,Max Bishop,PHILADELPHIA,128.0
1929,NL,Mel Ott,NEW YORK,113.0
1930,AL,Babe Ruth,NEW YORK,136.0
1930,NL,Hack Wilson,CHICAGO,105.0
1931,AL,Babe Ruth,NEW YORK,128.0
1931,NL,Mel Ott,NEW YORK,80.0
1932,AL,Babe Ruth,NEW YORK,130.0
1932,NL,Mel Ott,NEW YORK,100.0
1933,AL,Babe Ruth,NEW YORK,114.0
1933,NL,Mel Ott,NEW YORK,75.0
1934,AL,Jimmie Foxx,PHILADELPHIA,111.0
1934,NL,Arky Vaughan,PITTSBURGH,94.0
1935,AL,Lou Gehrig,NEW YORK,132.0
1935,NL,Arky Vaughan,PITTSBURGH,97.0
1936,AL,Lou Gehrig,NEW YORK,130.0
1936,NL,Arky Vaughan,PITTSBURGH,118.0
1937,AL,Lou Gehrig,NEW YORK,127.0
1937,NL,Mel Ott,NEW YORK,102.0
1938,AL,Jimmie Foxx,BOSTON,119.0
1938,NL,Dolph Camilli,BROOKLYN,119.0
1939,AL,Harlond Clift,ST. LOUIS,111.0
1939,NL,Dolph Camilli,BROOKLYN,110.0
1940,AL,Charlie Keller,NEW YORK,106.0
1940,NL,Elbie Fletcher,PITTSBURGH,119.0
1941,AL,Ted Williams,BOSTON,147.0
1941,NL,Elbie Fletcher,PITTSBURGH,118.0
1942,AL,Ted Williams,BOSTON,145.0
1942,NL,Mel Ott,NEW YORK,109.0
1943,AL,Charlie Keller,NEW YORK,106.0
1943,NL,Augie Galan,BROOKLYN,103.0
