Year,League,Player,Team,Hits
1876,NL,Ross Barnes,CHICAGO,138.0
1877,NL,Deacon White,BOSTON,103.0
1878,NL,Joe Start,CHICAGO,100.0
1879,NL,Paul Hines,PROVIDENCE,146.0
1880,NL,Abner Dalrymple,CHICAGO,126.0
1881,NL,Cap Anson,CHICAGO,137.0
1882,NL,Dan Brouthers,BUFFALO,129.0
1883,NL,Dan Brouthers,BUFFALO,159.0
1884,NL,Jim O'Rourke,BUFFALO,162.0
1885,NL,Roger Connor,NEW YORK,169.0
1886,NL,Hardy Richardson,DETROIT,189.0
1887,NL,Sam Thompson,DETROIT,171.0
1888,NL,Jimmy Ryan,CHICAGO,182.0
1889,NL,Jack Glasscock,INDIANAPOLIS,205.0
1890,NL,Jack Glasscock,NEW YORK,172.0
1891,NL,Billy Hamilton,PHILADELPHIA,179.0
1892,NL,Dan Brouthers,BROOKLYN,197.0
1893,NL,Sam Thompson,PHILADELPHIA,222.0
1894,NL,Hugh Duffy,BOSTON,237.0
1895,NL,Jesse Burkett,CLEVELAND,225.0
1896,NL,Jesse Burkett,CLEVELAND,240.0
1897,NL,Willie Keeler,BALTIMORE,239.0
1898,NL,Willie Keeler,BALTIMORE,216.0
1899,NL,Ed Delahanty,PHILADELPHIA,238.0
1900,NL,Willie Keeler,BROOKLYN,204.0
1901,AL,Nap Lajoie,PHILADELPHIA,229.0
1901,NL,Jesse Burkett,ST. LOUIS,226.0
1902,AL,Charlie Hickman,BOSTON,193.0
1902,NL,Ginger Beaumont,PITTSBURGH,193.0
1903,AL,Patsy Dougherty,BOSTON,195.0
1903,NL,Ginger Beaumont,PITTSBURGH,209.0
1904,AL,Nap Lajoie,CLEVELAND,211.0
1904,NL,Ginger Beaumont,PITTSBURGH,185.0
1905,AL,George Stone,ST. LOUIS,187.0
1905,NL,Cy Seymour,CINCINNATI,219.0
1906,AL,Nap Lajoie,CLEVELAND,214.0
1906,NL,Harry Steinfeldt,CHICAGO,176.0
