Year,League,Player,Team,On Base Percentage
1876,NL,Ross Barnes,CHICAGO,0.462
1877,NL,Jim O'Rourke,BOSTON,0.407
1878,NL,Bob Ferguson,CHICAGO,0.375
1879,NL,Jim O'Rourke,PROVIDENCE,0.371
1880,NL,George Gore,CHICAGO,0.399
1881,NL,Cap Anson,CHICAGO,0.442
1882,NL,Dan Brouthers,BUFFALO,0.403
1883,NL,Dan Brouthers,BUFFALO,0.397
1884,NL,King Kelly,CHICAGO,0.414
1885,NL,Roger Connor,NEW YORK,0.435
1886,NL,King Kelly,CHICAGO,0.483
1887,NL,Dan Brouthers,DETROIT,0.426
1888,NL,Cap Anson,CHICAGO,0.4
1889,NL,Fred Carroll,PITTSBURGH,0.486
1890,NL,Cap Anson,CHICAGO,0.443
1891,NL,Billy Hamilton,PHILADELPHIA,0.453
1892,NL,Cupid Childs,CLEVELAND,0.443
1893,NL,Billy Hamilton,PHILADELPHIA,0.49
1894,NL,Billy Hamilton,PHILADELPHIA,0.523
1895,NL,Ed Delahanty,PHILADELPHIA,0.5
1896,NL,Billy Hamilton,BOSTON,0.478
1897,NL,John McGraw,BALTIMORE,0.471
1898,NL,Billy Hamilton,BOSTON,0.48
1899,NL,John McGraw,BALTIMORE,0.547
1900,NL,John McGraw,ST. LOUIS,0.505
1901,AL,Nap Lajoie,PHILADELPHIA,0.458
1901,NL,Jesse Burkett,ST. LOUIS,0.44
1902,AL,Ed Delahanty,WASHINGTON,0.453
1902,NL,Roy Thomas,PHILADELPHIA,0.414
1903,AL,Jimmy Barrett,DETROIT,0.407
1903,NL,Roy Thomas,PHILADELPHIA,0.453
1904,AL,Nap Lajoie,CLEVELAND,0.418
1904,NL,Honus Wagner,PITTSBURGH,0.423
1905,AL,Topsy Hartsel,PHILADELPHIA,0.409
1905,NL,Frank Chance,CHICAGO,0.45
1906,AL,George Stone,ST. LOUIS,0.417
1906,NL,Roger Bresnahan,NEW YORK,0.419
1907,AL,Topsy Hartsel,PHILADELPHIA,0.405
1907,NL,Honus Wagner,PITTSBURGH,0.408
1908,AL,Doc Gessler,BOSTON,0.394
1908,NL,Honus Wagner,PITTSBURGH,0.415
1909,AL,Ty Cobb,DETROIT,0.431
1909,NL,Honus Wagner,PITTSBURGH,0.42
1910,AL,Ty Cobb,DETROIT,0.455
1910,NL,Sherry Magee,PHILADELPHIA,0.445
1911,AL,Joe Jackson,CLEVELAND,0.468
1911,NL,Jimmy Sheckard,CHICAGO,0.434
1912,AL,Tris Speaker,BOSTON,0.464
1912,NL,Johnny Evers,CHICAGO,0.431
1913,AL,Ty Cobb,DETROIT,0.466
1913,NL,Miller Huggins,ST. LOUIS,0.432
1914,AL,Eddie Collins,PHILADELPHIA,0.452
1914,NL,Casey Stengel,BROOKLYN,0.404
1915,AL,Ty Cobb,DETROIT,0.486
1915,NL,Gavvy Cravath,PHILADELPHIA,0.393
1916,AL,Tris Speaker,CLEVELAND,0.47
1916,NL,Gavvy Cravath,PHILADELPHIA,0.379
1917,AL,Ty Cobb,DETROIT,0.444
1917,NL,Heinie Groh,CINCINNATI,0.385
1918,AL,Ty Cobb,DETROIT,0.44
1918,NL,Heinie Groh,CINCINNATI,0.395
1919,AL,Babe Ruth,BOSTON,0.456
1919,NL,George Burns,NEW YORK,0.396
1920,AL,Babe Ruth,NEW YORK,0.532
1920,NL,Rogers Hornsby,ST. LOUIS,0.431
1921,AL,Babe Ruth,NEW YORK,0.512
1921,NL,Rogers Hornsby,ST. LOUIS,0.458
1922,AL,Tris Speaker,CLEVELAND,0.474
1922,NL,Rogers Hornsby,ST. LOUIS,0.459
1923,AL,Babe Ruth,NEW YORK,0.545
1923,NL,Rogers Hornsby,ST. LOUIS,0.459
1924,AL,Babe Ruth,NEW YORK,0.513
1924,NL,Rogers Hornsby,ST. LOUIS,0.507
1925,AL,Tris Speaker,CLEVELAND,0.479
1925,NL,Rogers Hornsby,ST. LOUIS,0.489
1926,AL,Babe Ruth,NEW YORK,0.516
1926,NL,Paul Waner,PITTSBURGH,0.413
1927,AL,Babe Ruth,NEW YORK,0.486
1927,NL,Rogers Hornsby,NEW YORK,0.448
1928,AL,Lou Gehrig,NEW YORK,0.467
1928,NL,Rogers Hornsby,BOSTON,0.498
1929,AL,Jimmie Foxx,PHILADELPHIA,0.463
1929,NL,Lefty O'Doul,PHILADELPHIA,0.465
1930,AL,Babe Ruth,NEW YORK,0.493
1930,NL,Mel Ott,NEW YORK,0.458
1931,AL,Babe Ruth,NEW YORK,0.495
1931,NL,Chick Hafey,ST. LOUIS,0.404
1932,AL,Babe Ruth,NEW YORK,0.489
1932,NL,Mel Ott,NEW YORK,0.424
1933,AL,Mickey Cochrane,PHILADELPHIA,0.459
1933,NL,Chuck Klein,PHILADELPHIA,0.422
1934,AL,Lou Gehrig,NEW YORK,0.465
1934,NL,Arky Vaughan,PITTSBURGH,0.431
1935,AL,Lou Gehrig,NEW YORK,0.466
1935,NL,Arky Vaughan,PITTSBURGH,0.491
1936,AL,Lou Gehrig,NEW YORK,0.478
1936,NL,Arky Vaughan,PITTSBURGH,0.453
1937,AL,Lou Gehrig,NEW YORK,0.473
1937,NL,Dolph Camilli,PHILADELPHIA,0.446
1938,AL,Jimmie Foxx,BOSTON,0.462
1938,NL,Mel Ott,NEW YORK,0.442
1939,AL,Jimmie Foxx,BOSTON,0.464
1939,NL,Mel Ott,NEW YORK,0.449
1940,AL,Ted Williams,BOSTON,0.442
1940,NL,Elbie Fletcher,PITTSBURGH,0.418
1941,AL,Ted Williams,BOSTON,0.553
1941,NL,Elbie Fletcher,PITTSBURGH,0.421
1942,AL,Ted Williams,BOSTON,0.499
1942,NL,Elbie Fletcher,PITTSBURGH,0.417
1943,AL,Luke Appling,CHICAGO,0.419
1943,NL,Stan Musial,ST. LOUIS,0.425
1944,AL,Bob Johnson,BOSTON,0.431
1944,NL,Stan Musial,ST. LOUIS,0.44
1945,AL,Eddie Lake,BOSTON,0.412
1945,NL,Phil Cavarretta,CHICAGO,0.449
1946,AL,Ted Williams,BOSTON,0.497
1946,NL,Eddie Stanky,BROOKLYN,0.436
1947,AL,Ted Williams,BOSTON,0.499
1947,NL,Augie Galan,CINCINNATI,0.449
1948,AL,Ted Williams,BOSTON,0.497
1948,NL,Stan Musial,ST. LOUIS,0.45
1949,AL,Ted Williams,BOSTON,0.49
1949,NL,Stan Musial,ST. LOUIS,0.438
1950,AL,Larry Doby,CLEVELAND,0.442
1950,NL,Eddie Stanky,NEW YORK,0.46
1951,AL,Ted Williams,BOSTON,0.464
1951,NL,Ralph Kiner,PITTSBURGH,0.452
1952,AL,Ferris Fain,PHILADELPHIA,0.438
1952,NL,Jackie Robinson,BROOKLYN,0.44
1953,AL,Gene Woodling,NEW YORK,0.429
1953,NL,Stan Musial,ST. LOUIS,0.437
1954,AL,Ted Williams,BOSTON,0.513
1954,NL,Richie Ashburn,PHILADELPHIA,0.441
1955,AL,Mickey Mantle,NEW YORK,0.431
1955,NL,Richie Ashburn,PHILADELPHIA,0.449
1956,AL,Ted Williams,BOSTON,0.479
1956,NL,Duke Snider,BROOKLYN,0.399
1957,AL,Ted Williams,BOSTON,0.526
1957,NL,Stan Musial,ST. LOUIS,0.422
1958,AL,Ted Williams,BOSTON,0.458
1958,NL,Richie Ashburn,PHILADELPHIA,0.44
1959,AL,Eddie Yost,DETROIT,0.435
1959,NL,Joe Cunningham,ST. LOUIS,0.453
1960,AL,Eddie Yost,DETROIT,0.414
1960,NL,Richie Ashburn,CHICAGO,0.415
1961,AL,Norm Cash,DETROIT,0.487
1961,NL,Wally Moon,LOS ANGELES,0.434
1962,AL,Mickey Mantle,NEW YORK,0.486
1962,NL,Frank Robinson,CINCINNATI,0.421
1963,AL,Carl Yastrzemski,BOSTON,0.418
1963,NL,Eddie Mathews,MILWAUKEE,0.399
1964,AL,Mickey Mantle,NEW YORK,0.423
1964,NL,Ron Santo,CHICAGO,0.398
1965,AL,Carl Yastrzemski,BOSTON,0.395
1965,NL,Willie Mays,SAN FRANCISCO,0.398
1966,AL,Frank Robinson,BALTIMORE,0.41
1966,NL,Ron Santo,CHICAGO,0.412
1967,AL,Carl Yastrzemski,BOSTON,0.418
1967,NL,Dick Allen,PHILADELPHIA,0.404
1968,AL,Carl Yastrzemski,BOSTON,0.426
1968,NL,Pete Rose,CINCINNATI,0.391
1969,AL,Harmon Killebrew,MINNESOTA,0.427
1969,NL,Willie McCovey,SAN FRANCISCO,0.453
1970,AL,Carl Yastrzemski,BOSTON,0.452
1970,NL,Rico Carty,ATLANTA,0.454
1971,AL,Bobby Murcer,NEW YORK,0.427
1971,NL,Willie Mays,SAN FRANCISCO,0.425
1972,AL,Dick Allen,CHICAGO,0.42
1972,NL,Joe Morgan,CINCINNATI,0.417
1973,AL,John Mayberry,KANSAS CITY,0.417
1973,NL,Ken Singleton,MONTREAL,0.425
1974,AL,Rod Carew,MINNESOTA,0.433
1974,NL,Joe Morgan,CINCINNATI,0.427
1975,AL,Rod Carew,MINNESOTA,0.421
1975,NL,Joe Morgan,CINCINNATI,0.466
1976,AL,Hal McRae,KANSAS CITY,0.407
1976,NL,Joe Morgan,CINCINNATI,0.444
1977,AL,Rod Carew,MINNESOTA,0.449
1977,NL,Reggie Smith,LOS ANGELES,0.427
1978,AL,Rod Carew,MINNESOTA,0.411
1978,NL,Jeff Burroughs,ATLANTA,0.432
1979,AL,Fred Lynn,BOSTON,0.423
1979,NL,Pete Rose,PHILADELPHIA,0.418
1980,AL,George Brett,KANSAS CITY,0.454
1980,NL,Keith Hernandez,ST. LOUIS,0.408
1981,AL,Mike Hargrove,CLEVELAND,0.424
1981,NL,Mike Schmidt,PHILADELPHIA,0.435
1982,AL,Dwight Evans,BOSTON,0.402
1982,NL,Mike Schmidt,PHILADELPHIA,0.403
1983,AL,Wade Boggs,BOSTON,0.444
1983,NL,Mike Schmidt,PHILADELPHIA,0.399
1984,AL,Eddie Murray,BALTIMORE,0.41
1984,NL,Gary Matthews,CHICAGO,0.41
1985,AL,Wade Boggs,BOSTON,0.45
1985,NL,Pedro Guerrero,LOS ANGELES,0.422
1986,AL,Wade Boggs,BOSTON,0.453
1986,NL,Tim Raines,MONTREAL,0.413
1987,AL,Wade Boggs,BOSTON,0.461
1987,NL,Jack Clark,ST. LOUIS,0.459
1988,AL,Wade Boggs,BOSTON,0.476
1988,NL,Kal Daniels,CINCINNATI,0.397
1989,AL,Wade Boggs,BOSTON,0.43
1989,NL,Lonnie Smith,ATLANTA,0.415
1990,AL,Rickey Henderson,OAKLAND,0.439
1990,NL,Lenny Dykstra,PHILADELPHIA,0.418
1991,AL,Frank Thomas,CHICAGO,0.453
1991,NL,Barry Bonds,PITTSBURGH,0.41
1992,AL,Frank Thomas,CHICAGO,0.439
1992,NL,Barry Bonds,PITTSBURGH,0.456
1993,AL,John Olerud,TORONTO,0.473
1993,NL,Barry Bonds,SAN FRANCISCO,0.458
1994,AL,Frank Thomas,CHICAGO,0.487
1994,NL,Tony Gwynn,SAN DIEGO,0.454
1995,AL,Edgar Martinez,SEATTLE,0.479
1995,NL,Barry Bonds,SAN FRANCISCO,0.431
1996,AL,Mark McGwire,OAKLAND,0.467
1996,NL,Gary Sheffield,FLORIDA,0.465
1997,AL,Frank Thomas,CHICAGO,0.456
1997,NL,Larry Walker,COLORADO,0.452
1998,AL,Edgar Martinez,SEATTLE,0.429
1998,NL,Mark McGwire,ST. LOUIS,0.47
1999,AL,Edgar Martinez,SEATTLE,0.447
1999,NL,Larry Walker,COLORADO,0.458
2000,AL,Jason Giambi,OAKLAND,0.476
2000,NL,Todd Helton,COLORADO,0.463
2001,AL,Jason Giambi,OAKLAND,0.477
2001,NL,Barry Bonds,SAN FRANCISCO,0.515
2002,AL,Manny Ramirez,BOSTON,0.45
2002,NL,Barry Bonds,SAN FRANCISCO,0.582
2003,AL,Manny Ramirez,BOSTON,0.427
2003,NL,Barry Bonds,SAN FRANCISCO,0.529
2004,AL,Melvin Mora,BALTIMORE,0.419
2004,NL,Barry Bonds,SAN FRANCISCO,0.609
2005,AL,Jason Giambi,NEW YORK,0.44
