Year,League,Player,Team,RBI
1876,NL,Deacon White,CHICAGO,60.0
1877,NL,Deacon White,BOSTON,49.0
1878,NL,Paul Hines,PROVIDENCE,50.0
1879,NL,Charley Jones,BOSTON,62.0
1880,NL,Cap Anson,CHICAGO,74.0
1881,NL,Cap Anson,CHICAGO,82.0
1882,NL,Cap Anson,CHICAGO,83.0
1883,NL,Dan Brouthers,BUFFALO,97.0
1884,NL,Cap Anson,CHICAGO,102.0
1885,NL,Cap Anson,CHICAGO,108.0
1886,NL,Cap Anson,CHICAGO,147.0
1887,NL,Sam Thompson,DETROIT,166.0
1888,NL,Cap Anson,CHICAGO,84.0
1889,NL,Roger Connor,NEW YORK,130.0
1890,NL,Oyster Burns,BROOKLYN,128.0
1891,NL,Cap Anson,CHICAGO,120.0
1892,NL,Dan Brouthers,BROOKLYN,124.0
1893,NL,Ed Delahanty,PHILADELPHIA,146.0
1894,NL,Hugh Duffy,BOSTON,145.0
1895,NL,Sam Thompson,PHILADELPHIA,165.0
1896,NL,Ed Delahanty,PHILADELPHIA,126.0
1897,NL,George Davis,NEW YORK,136.0
1898,NL,Nap Lajoie,PHILADELPHIA,127.0
1899,NL,Ed Delahanty,PHILADELPHIA,137.0
1900,NL,Elmer Flick,PHILADELPHIA,110.0
1901,AL,Nap Lajoie,PHILADELPHIA,125.0
1901,NL,Honus Wagner,PITTSBURGH,126.0
1902,AL,Buck Freeman,BOSTON,121.0
1902,NL,Honus Wagner,PITTSBURGH,91.0
1903,AL,Buck Freeman,BOSTON,104.0
1903,NL,Sam Mertes,NEW YORK,104.0
1904,AL,Nap Lajoie,CLEVELAND,102.0
1904,NL,Bill Dahlen,NEW YORK,80.0
1905,AL,Harry Davis,PHILADELPHIA,83.0
1905,NL,Cy Seymour,CINCINNATI,121.0
1906,AL,Harry Davis,PHILADELPHIA,96.0
1906,NL,Joe Nealon,PITTSBURGH,83.0
1907,AL,Ty Cobb,DETROIT,119.0
1907,NL,Sherry Magee,PHILADELPHIA,85.0
1908,AL,Ty Cobb,DETROIT,108.0
1908,NL,Honus Wagner,PITTSBURGH,109.0
1909,AL,Ty Cobb,DETROIT,107.0
