Year,League,Player,Team,Slugging Average
1876,NL,Ross Barnes,CHICAGO,0.59
1877,NL,Deacon White,BOSTON,0.545
1878,NL,Paul Hines,PROVIDENCE,0.486
1879,NL,John O'Rourke,BOSTON,0.521
1880,NL,George Gore,CHICAGO,0.463
1881,NL,Dan Brouthers,BUFFALO,0.541
1882,NL,Dan Brouthers,BUFFALO,0.547
1883,NL,Dan Brouthers,BUFFALO,0.572
1884,NL,Dan Brouthers,BUFFALO,0.563
1885,NL,Dan Brouthers,BUFFALO,0.543
1886,NL,Dan Brouthers,DETROIT,0.581
1887,NL,Dan Brouthers,DETROIT,0.562
1888,NL,Jimmy Ryan,CHICAGO,0.515
1889,NL,Roger Connor,NEW YORK,0.528
1890,NL,Mike Tiernan,NEW YORK,0.495
1891,NL,Harry Stovey,BOSTON,0.498
1892,NL,Ed Delahanty,PHILADELPHIA,0.495
1893,NL,Ed Delahanty,PHILADELPHIA,0.583
1894,NL,Hugh Duffy,BOSTON,0.694
1895,NL,Sam Thompson,PHILADELPHIA,0.654
1896,NL,Ed Delahanty,PHILADELPHIA,0.631
1897,NL,Nap Lajoie,PHILADELPHIA,0.571
1898,NL,John Anderson,BROOKLYN,0.494
1899,NL,Ed Delahanty,PHILADELPHIA,0.582
1900,NL,Honus Wagner,PITTSBURGH,0.573
1901,AL,Nap Lajoie,PHILADELPHIA,0.638
1901,NL,Jimmy Sheckard,BROOKLYN,0.534
1902,AL,Ed Delahanty,WASHINGTON,0.59
1902,NL,Honus Wagner,PITTSBURGH,0.464
1903,AL,Nap Lajoie,CLEVELAND,0.53
1903,NL,Fred Clarke,PITTSBURGH,0.532
1904,AL,Nap Lajoie,CLEVELAND,0.552
1904,NL,Honus Wagner,PITTSBURGH,0.52
1905,AL,Elmer Flick,CLEVELAND,0.462
1905,NL,Cy Seymour,CINCINNATI,0.559
1906,AL,George Stone,ST. LOUIS,0.501
1906,NL,Harry Lumley,BROOKLYN,0.477
1907,AL,Ty Cobb,DETROIT,0.468
1907,NL,Honus Wagner,PITTSBURGH,0.513
1908,AL,Ty Cobb,DETROIT,0.476
1908,NL,Honus Wagner,PITTSBURGH,0.542
1909,AL,Ty Cobb,DETROIT,0.517
1909,NL,Honus Wagner,PITTSBURGH,0.489
1910,AL,Ty Cobb,DETROIT,0.549
1910,NL,Sherry Magee,PHILADELPHIA,0.507
1911,AL,Ty Cobb,DETROIT,0.62
1911,NL,Frank Schulte,CHICAGO,0.534
1912,AL,Ty Cobb,DETROIT,0.584
1912,NL,Heinie Zimmerman,CHICAGO,0.571
1913,AL,Joe Jackson,CLEVELAND,0.551
1913,NL,Gavvy Cravath,PHILADELPHIA,0.568
1914,AL,Ty Cobb,DETROIT,0.513
1914,NL,Sherry Magee,PHILADELPHIA,0.509
1915,AL,Jack Fournier,CHICAGO,0.491
1915,NL,Gavvy Cravath,PHILADELPHIA,0.51
1916,AL,Tris Speaker,CLEVELAND,0.502
1916,NL,Zack Wheat,BROOKLYN,0.461
1917,AL,Ty Cobb,DETROIT,0.57
1917,NL,Rogers Hornsby,ST. LOUIS,0.484
1918,AL,Babe Ruth,BOSTON,0.555
1918,NL,Edd Roush,CINCINNATI,0.455
