Year,League,Player,Team,Total Bases
1876,NL,Ross Barnes,CHICAGO,190.0
1877,NL,Deacon White,BOSTON,145.0
1878,NL,Paul Hines,PROVIDENCE,125.0
1879,NL,Paul Hines,PROVIDENCE,197.0
1880,NL,Abner Dalrymple,CHICAGO,175.0
1881,NL,Cap Anson,CHICAGO,175.0
1882,NL,Dan Brouthers,BUFFALO,192.0
1883,NL,Dan Brouthers,BUFFALO,243.0
1884,NL,Abner Dalrymple,CHICAGO,263.0
1885,NL,Roger Connor,NEW YORK,225.0
1886,NL,Dan Brouthers,DETROIT,284.0
1887,NL,Dan Brouthers,DETROIT,281.0
1888,NL,Jimmy Ryan,CHICAGO,283.0
1889,NL,Jimmy Ryan,CHICAGO,297.0
1890,NL,Mike Tiernan,NEW YORK,274.0
1891,NL,Harry Stovey,BOSTON,271.0
1892,NL,Dan Brouthers,BROOKLYN,282.0
1893,NL,Ed Delahanty,PHILADELPHIA,347.0
1894,NL,Hugh Duffy,BOSTON,374.0
1895,NL,Sam Thompson,PHILADELPHIA,352.0
1896,NL,Jesse Burkett,CLEVELAND,317.0
1897,NL,Nap Lajoie,PHILADELPHIA,311.0
1898,NL,Jimmy Collins,BOSTON,286.0
1899,NL,Ed Delahanty,PHILADELPHIA,338.0
1900,NL,Honus Wagner,PITTSBURGH,302.0
1901,AL,Nap Lajoie,PHILADELPHIA,347.0
1901,NL,Jesse Burkett,ST. LOUIS,306.0
1902,AL,Charlie Hickman,BOSTON,288.0
1902,NL,Sam Crawford,CINCINNATI,256.0
1903,AL,Buck Freeman,BOSTON,281.0
1903,NL,Ginger Beaumont,PITTSBURGH,272.0
1904,AL,Nap Lajoie,CLEVELAND,305.0
1904,NL,Honus Wagner,PITTSBURGH,255.0
1905,AL,George Stone,ST. LOUIS,259.0
1905,NL,Cy Seymour,CINCINNATI,325.0
1906,AL,George Stone,ST. LOUIS,291.0
1906,NL,Honus Wagner,PITTSBURGH,237.0
1907,AL,Ty Cobb,DETROIT,283.0
1907,NL,Honus Wagner,PITTSBURGH,264.0
1908,AL,Ty Cobb,DETROIT,276.0
1908,NL,Honus Wagner,PITTSBURGH,308.0
1909,AL,Ty Cobb,DETROIT,296.0
1909,NL,Honus Wagner,PITTSBURGH,242.0
1910,AL,Nap Lajoie,CLEVELAND,304.0
1910,NL,Sherry Magee,PHILADELPHIA,263.0
1911,AL,Ty Cobb,DETROIT,367.0
1911,NL,Frank Schulte,CHICAGO,308.0
1912,AL,Joe Jackson,CLEVELAND,331.0
1912,NL,Heinie Zimmerman,CHICAGO,318.0
1913,AL,Sam Crawford,DETROIT,298.0
1913,NL,Gavvy Cravath,PHILADELPHIA,298.0
1914,AL,Tris Speaker,BOSTON,287.0
1914,NL,Sherry Magee,PHILADELPHIA,277.0
1915,AL,Ty Cobb,DETROIT,274.0
1915,NL,Gavvy Cravath,PHILADELPHIA,266.0
1916,AL,Joe Jackson,CHICAGO,293.0
1916,NL,Zack Wheat,BROOKLYN,262.0
1917,AL,Ty Cobb,DETROIT,335.0
1917,NL,Rogers Hornsby,ST. LOUIS,253.0
1918,AL,George Burns,PHILADELPHIA,236.0
1918,NL,Charlie Hollocher,CHICAGO,202.0
1919,AL,Babe Ruth,BOSTON,284.0
