Year,League,Player,Team,Triples
1876,NL,Ross Barnes,CHICAGO,14.0
1877,NL,Deacon White,BOSTON,11.0
1878,NL,Tom York,PROVIDENCE,10.0
1879,NL,Buttercup Dickerson,CINCINNATI,14.0
1880,NL,Harry Stovey,WORCESTER,14.0
1881,NL,Jack Rowe,BUFFALO,11.0
1882,NL,Roger Connor,TROY,18.0
1883,NL,Dan Brouthers,BUFFALO,17.0
1884,NL,Buck Ewing,NEW YORK,20.0
1885,NL,Jim O'Rourke,NEW YORK,16.0
1886,NL,Roger Connor,NEW YORK,20.0
1887,NL,Sam Thompson,DETROIT,23.0
1888,NL,Dick Johnston,BOSTON,18.0
1889,NL,Walt Wilmot,WASHINGTON,19.0
1890,NL,John Reilly,CINCINNATI,26.0
1891,NL,Harry Stovey,BOSTON,20.0
1892,NL,Ed Delahanty,PHILADELPHIA,21.0
1893,NL,Perry Werden,ST. LOUIS,29.0
1894,NL,Heinie Reitz,BALTIMORE,31.0
1895,NL,Kip Selbach,WASHINGTON,22.0
1896,NL,Tom McCreery,LOUISVILLE,21.0
1897,NL,Harry Davis,PITTSBURGH,28.0
1898,NL,John Anderson,BROOKLYN,22.0
1899,NL,Jimmy Williams,PITTSBURGH,27.0
1900,NL,Honus Wagner,PITTSBURGH,22.0
1901,AL,Bill Keister,BALTIMORE,21.0
1901,NL,Jimmy Sheckard,BROOKLYN,19.0
1902,AL,Jimmy Williams,BALTIMORE,21.0
1902,NL,Sam Crawford,CINCINNATI,22.0
1903,AL,Sam Crawford,DETROIT,25.0
1903,NL,Honus Wagner,PITTSBURGH,19.0
1904,AL,Joe Cassidy,WASHINGTON,19.0
1904,NL,Harry Lumley,BROOKLYN,18.0
1905,AL,Elmer Flick,CLEVELAND,18.0
1905,NL,Cy Seymour,CINCINNATI,21.0
1906,AL,Elmer Flick,CLEVELAND,22.0
1906,NL,Fred Clarke,PITTSBURGH,13.0
1907,AL,Elmer Flick,CLEVELAND,18.0
1907,NL,Whitey Alperman,BROOKLYN,16.0
1908,AL,Ty Cobb,DETROIT,20.0
1908,NL,Honus Wagner,PITTSBURGH,19.0
1909,AL,Home Run Baker,PHILADELPHIA,19.0
1909,NL,Mike Mitchell,CINCINNATI,17.0
1910,AL,Sam Crawford,DETROIT,19.0
1910,NL,Mike Mitchell,CINCINNATI,18.0
1911,AL,Ty Cobb,DETROIT,24.0
1911,NL,Larry Doyle,NEW YORK,25.0
1912,AL,Joe Jackson,CLEVELAND,26.0
1912,NL,Chief Wilson,PITTSBURGH,36.0
1913,AL,Sam Crawford,DETROIT,23.0
1913,NL,Vic Saier,CHICAGO,21.0
1914,AL,Sam Crawford,DETROIT,26.0
1914,NL,Max Carey,PITTSBURGH,17.0
1915,AL,Sam Crawford,DETROIT,19.0
1915,NL,Tom Long,ST. LOUIS,25.0
1916,AL,Joe Jackson,CHICAGO,21.0
1916,NL,Bill Hinchman,PITTSBURGH,16.0
1917,AL,Ty Cobb,DETROIT,24.0
1917,NL,Rogers Hornsby,ST. LOUIS,17.0
1918,AL,Ty Cobb,DETROIT,14.0
1918,NL,Jake Daubert,BROOKLYN,15.0
1919,AL,Bobby Veach,DETROIT,17.0
1919,NL,Hy Myers,BROOKLYN,14.0
1920,AL,Joe Jackson,CHICAGO,20.0
